,1,2,3,4,5,6,7,8,9,10,11,12
A,1.232,0.237,0.037,0.038,0.037,0.037,0.037,0.036,0.037,0.036,0.037,0.039
B,0.718,0.316,0.036,0.04,0.04,0.036,0.041,0.035,0.037,0.038,0.038,0.037
C,0.439,0.089,0.038,0.037,0.042,0.036,0.035,0.042,0.037,0.039,0.042,0.044
D,0.296,0.079,0.037,0.042,0.045,0.037,0.043,0.038,0.045,0.048,0.04,0.042
E,0.198,0.083,0.038,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.039,0.038
F,0.144,0.088,0.037,0.037,0.037,0.037,0.038,0.038,0.038,0.042,0.04,0.039
G,0.113,0.079,0.038,0.037,0.037,0.039,0.041,0.04,0.037,0.038,0.037,0.037
H,0.078,0.082,0.038,0.037,0.038,0.038,0.039,0.038,0.038,0.038,0.037,0.04



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Absorbance %CV



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Dilution Factor,Absorbance %CV
1,Sample 1,,,,1,,,,,,



Protocol
Assay
Sample Wavelength (nm),562
Serial No.,OPTMAA00063
Measurement started at,01 28 02:33:43 2026
Measurement finished at,01 28 02:33:45 2026
